,City#,City,Lat,Lon,Temp,Humidity,Clouds,Wind
1,1,jamestown,-33.21,138.6,77.01,70.0,0.0,3.23
2,2,pointe-noire,-4.8,11.85,75.2,100.0,40.0,2.1
3,3,bluff,-23.58,149.07,82.1,42.0,0.0,5.03
4,4,luderitz,-26.65,15.16,64.86,74.0,0.0,8.08
5,5,lorengau,-2.02,147.27,80.34,100.0,64.0,2.85
6,6,naze,5.43,7.07,75.2,94.0,40.0,0.65
7,7,arraial do cabo,-22.97,-42.02,80.16,94.0,24.0,0.25
8,8,meulaboh,4.14,96.13,78.68,100.0,24.0,0.7
9,9,muros,42.77,-9.06,53.8,58.0,0.0,2.1
10,10,butaritari,3.07,172.79,81.69,100.0,88.0,7.43
11,11,ostrovnoy,68.05,39.51,18.24,86.0,36.0,10.45
12,12,upernavik,72.79,-56.15,0.56,100.0,44.0,7.3
13,13,ponta do sol,-20.63,-46.0,70.94,91.0,48.0,1.13
14,14,sovetskaya,44.78,41.17,30.0,10.0,92.0,0.89
15,15,carnarvon,-30.97,22.13,55.82,53.0,0.0,3.45
16,16,ribeira grande,38.52,-28.7,60.68,98.0,92.0,13.4
17,17,roma,41.89,12.48,48.79,61.0,0.0,3.6
18,18,bethel,60.79,-161.76,37.42,93.0,90.0,11.8
19,19,kapaa,22.08,-159.32,75.43,57.0,40.0,9.8
20,20,bredasdorp,-34.53,20.04,51.8,81.0,68.0,3.1
21,21,amapa,15.09,-87.97,80.6,65.0,20.0,4.6
22,22,isangel,-19.55,169.27,77.73,100.0,76.0,6.75
23,23,taoudenni,22.68,-3.98,51.41,32.0,0.0,4.93
24,24,killybegs,54.63,-8.45,45.0,79.0,24.0,0.45
25,25,tasiilaq,65.61,-37.64,30.2,92.0,92.0,1.5
26,26,mehamn,71.03,27.85,28.41,95.0,80.0,1.5
27,27,kaniv,49.76,31.46,33.95,92.0,88.0,6.55
28,28,cajati,-24.73,-48.11,69.77,98.0,100.0,1.68
29,29,cabedelo,-6.97,-34.84,82.4,83.0,20.0,2.1
30,30,puerto ayora,-0.74,-90.35,84.2,74.0,20.0,4.1
31,31,reconquista,-29.14,-59.64,64.19,60.0,12.0,5.03
32,32,codrington,-28.95,153.24,78.58,50.0,40.0,3.1
33,33,kudahuvadhoo,2.67,72.89,80.48,100.0,92.0,4.05
34,34,ishigaki,24.34,124.16,75.2,73.0,75.0,2.6
35,35,hambantota,6.12,81.12,75.2,100.0,75.0,1.5
36,36,faanui,-16.48,-151.75,83.63,100.0,0.0,1.6
37,37,avarua,-21.21,-159.78,84.2,70.0,0.0,6.2
38,38,thompson,55.74,-97.86,8.6,60.0,90.0,3.6
39,39,cherskiy,68.75,161.3,-5.52,81.0,80.0,1.05
40,40,najran,17.54,44.22,66.2,42.0,5.0,1.1
41,41,alofi,-19.06,-169.92,82.41,98.0,80.0,12.5
42,42,yellowknife,62.45,-114.38,17.28,78.0,75.0,3.6
43,43,furano,43.28,142.47,24.8,79.0,75.0,4.1
44,44,dejen,10.16,38.15,44.12,50.0,0.0,0.7
45,45,itaporanga,-7.3,-38.15,68.91,96.0,76.0,1.73
46,46,rikitea,-23.12,-134.97,80.48,99.0,88.0,4.63
47,47,dauphin,51.15,-100.04,1.4,59.0,1.0,4.6
48,48,mahebourg,-20.41,57.7,80.28,83.0,40.0,5.7
49,49,dingle,11.0,122.67,74.94,70.0,0.0,5.6
50,50,namibe,-15.19,12.15,76.52,100.0,56.0,2.93
51,51,punta arenas,-53.16,-70.91,48.09,61.0,0.0,9.8
52,52,riyadh,24.63,46.72,68.0,16.0,75.0,4.6
53,53,bama,24.14,107.25,60.95,94.0,92.0,1.58
54,54,edson,53.59,-116.44,19.4,48.0,1.0,4.6
55,55,vanavara,60.35,102.28,13.11,79.0,76.0,2.25
56,56,darnah,32.77,22.64,58.7,100.0,88.0,13.28
57,57,tautira,-17.73,-149.15,84.09,74.0,75.0,4.1
58,58,atyrau,47.1,51.92,26.6,100.0,75.0,1.0
59,59,ancud,-41.87,-73.83,59.06,68.0,0.0,3.08
60,60,hilo,19.71,-155.08,73.31,57.0,20.0,4.6
61,61,hohhot,40.81,111.65,17.6,72.0,0.0,2.0
62,62,egvekinot,66.32,-179.17,24.54,88.0,80.0,7.0
63,63,constantine,36.36,6.61,35.6,93.0,40.0,0.88
64,64,cidreira,-30.17,-50.22,66.98,91.0,80.0,0.65
65,65,vaini,15.34,74.49,59.0,67.0,0.0,0.58
66,66,cape town,-33.93,18.42,59.0,82.0,0.0,1.0
67,67,grand gaube,-20.01,57.66,80.33,83.0,40.0,5.7
68,68,hovd,63.83,10.7,42.57,70.0,0.0,6.7
69,69,margate,-43.03,147.26,62.31,42.0,20.0,2.6
70,70,dakar,14.69,-17.45,70.61,31.0,20.0,5.1
71,71,saint-philippe,45.36,-73.48,5.11,60.0,1.0,6.0
72,72,kailua,21.39,-157.74,75.47,83.0,1.0,3.1
73,73,sungaipenuh,-2.08,101.38,64.73,99.0,100.0,0.25
74,74,atuona,-9.8,-139.03,80.84,100.0,12.0,3.13
75,75,norman wells,65.28,-126.83,24.8,62.0,40.0,5.1
76,76,dok kham tai,19.16,99.99,64.82,95.0,76.0,1.2
77,77,yulara,-25.24,130.99,93.2,17.0,0.0,5.7
78,78,port macquarie,-31.43,152.91,77.61,60.0,75.0,3.6
79,79,hobyo,5.35,48.53,75.44,90.0,12.0,6.33
80,80,klaksvik,62.23,-6.59,44.6,81.0,0.0,4.1
81,81,port-cartier,50.03,-66.88,6.8,60.0,90.0,9.8
82,82,yarkovo,54.81,82.6,28.4,92.0,90.0,4.0
83,83,taltal,-25.41,-70.49,62.88,77.0,0.0,1.15
84,84,isoka,-10.15,32.64,65.27,93.0,68.0,1.33
85,85,civitanova marche,43.31,13.72,50.14,70.0,56.0,2.1
86,86,rockland,42.13,-70.92,21.45,34.0,0.0,8.2
87,87,marzuq,14.4,46.47,47.45,73.0,0.0,1.13
88,88,sur,22.57,59.53,67.88,100.0,0.0,1.83
89,89,coquimbo,-29.95,-71.34,60.8,87.0,20.0,2.6
90,90,verkhovazhye,60.75,42.05,7.89,73.0,0.0,4.03
91,91,malinovoye ozero,51.68,79.77,32.78,93.0,92.0,4.75
92,92,san francisco,37.78,-122.42,54.03,71.0,90.0,8.7
93,93,barrow,-38.31,-60.23,51.18,73.0,8.0,1.28
94,94,tapachula,14.91,-92.27,84.2,74.0,20.0,4.1
95,95,porosozero,62.72,32.71,11.9,85.0,24.0,1.33
96,96,vila franca do campo,37.72,-25.43,56.01,71.0,40.0,6.7
97,97,batsfjord,70.63,29.72,30.2,74.0,40.0,5.1
98,98,gizo,31.8,34.94,53.42,72.0,75.0,3.1
99,99,ushuaia,-54.81,-68.31,44.6,70.0,40.0,16.5
100,100,beringovskiy,63.05,179.32,30.21,89.0,80.0,12.1
101,101,chifeng,42.27,118.96,24.41,69.0,0.0,2.63
102,102,guerrero negro,27.97,-114.04,67.16,51.0,8.0,4.2
103,103,jackson,35.61,-88.82,53.11,57.0,1.0,1.1
104,104,richards bay,-28.77,32.06,74.18,83.0,20.0,5.03
105,105,chokurdakh,70.62,147.9,-23.34,34.0,64.0,3.45
106,106,port hardy,50.7,-127.42,41.0,23.0,5.0,7.2
107,107,bambous virieux,-20.34,57.76,80.28,83.0,40.0,5.7
108,108,los llanos de aridane,28.66,-17.92,61.02,72.0,24.0,3.6
109,109,mar del plata,-46.43,-67.52,67.43,37.0,0.0,8.3
110,110,berdigestyakh,62.1,126.7,9.33,80.0,56.0,3.05
111,111,maldonado,-34.91,-54.96,62.6,51.0,20.0,4.1
112,112,flinders,-34.58,150.85,75.33,60.0,75.0,5.1
113,113,kodiak,39.95,-94.76,28.6,73.0,90.0,3.6
114,114,marsh harbour,26.54,-77.06,71.16,100.0,92.0,11.35
115,115,souillac,45.6,-0.6,45.48,81.0,0.0,2.05
116,116,morozovsk,48.35,41.83,27.69,90.0,88.0,1.38
117,117,nikolskoye,59.7,30.79,23.0,92.0,20.0,1.0
118,118,uige,-7.61,15.06,69.41,91.0,44.0,1.28
119,119,whitehorse,60.72,-135.06,21.11,53.0,40.0,2.6
120,120,nanortalik,60.14,-45.24,29.04,100.0,0.0,7.05
121,121,diego de almagro,-26.39,-70.05,67.16,62.0,0.0,1.23
122,122,touros,-5.2,-35.46,80.6,88.0,20.0,1.5
123,123,pangnirtung,66.15,-65.72,-15.46,67.0,0.0,1.23
124,124,oranjemund,-28.55,16.43,64.23,95.0,48.0,8.33
125,125,lebu,8.96,38.73,53.6,37.0,0.0,1.5
126,126,mingaora,34.78,72.36,25.98,89.0,0.0,1.23
127,127,jian,25.65,87.89,63.78,81.0,68.0,5.03
128,128,christchurch,-43.53,172.64,76.42,29.0,48.0,9.3
129,129,rorvik,64.86,11.24,44.01,85.0,92.0,2.24
130,130,yatou,3.63,9.81,78.8,83.0,75.0,1.5
131,131,yuncheng,35.03,111.0,29.36,86.0,36.0,1.03
132,132,praia,-20.25,-43.81,66.2,93.0,75.0,2.1
133,133,tyulgan,52.34,56.17,9.96,85.0,64.0,1.68
134,134,tokur,53.13,132.9,8.79,78.0,0.0,1.05
135,135,tuktoyaktuk,69.44,-133.03,5.0,84.0,75.0,2.6
136,136,hermanus,-34.42,19.24,59.0,75.0,56.0,0.45
137,137,ilulissat,69.22,-51.1,-0.4,77.0,0.0,2.1
138,138,hithadhoo,-0.6,73.08,81.83,100.0,36.0,5.48
139,139,plouzane,48.38,-4.62,48.36,76.0,0.0,1.0
140,140,saint anthony,43.97,-111.68,38.98,69.0,40.0,3.1
141,141,busselton,-33.64,115.35,74.44,37.0,36.0,7.58
142,142,sao filipe,14.9,-24.5,73.46,85.0,0.0,6.63
143,143,constitucion,23.99,-104.67,77.0,9.0,5.0,5.1
144,144,steinbach,49.53,-96.69,0.1,59.0,75.0,6.7
145,145,lethem,3.38,-59.8,85.74,48.0,0.0,8.45
146,146,dunedin,-45.87,170.5,55.0,71.0,8.0,4.02
147,147,mayor pablo lagerenza,-19.93,-60.77,69.81,97.0,100.0,5.83
148,148,geraldton,49.72,-86.95,-0.4,59.0,75.0,2.6
149,149,nalut,31.86,10.98,43.89,96.0,92.0,2.78
150,150,iqaluit,63.75,-68.52,-2.09,77.0,90.0,2.1
151,151,hasaki,35.73,140.83,46.69,42.0,75.0,5.7
152,152,port elizabeth,39.31,-74.98,37.53,44.0,90.0,2.6
153,153,lata,30.78,78.62,28.19,100.0,92.0,0.83
154,154,okhotsk,59.36,143.24,-7.18,100.0,8.0,3.03
155,155,bage,10.95,11.38,72.56,42.0,8.0,2.18
156,156,zhigansk,66.77,123.37,-3.04,73.0,76.0,2.93
157,157,moroni,39.52,-111.59,41.43,43.0,8.0,5.36
158,158,rio gallegos,-51.62,-69.22,53.6,46.0,0.0,8.7
159,159,saint george,39.45,22.34,50.0,39.0,75.0,4.1
160,160,roald,62.58,6.12,45.99,89.0,44.0,8.7
161,161,rawson,-43.3,-65.11,69.05,35.0,100.0,4.75
162,162,kutum,14.2,24.66,80.12,28.0,92.0,3.08
163,163,zwedru,6.07,-8.13,75.48,86.0,0.0,2.73
164,164,ati,13.21,18.34,77.96,48.0,0.0,4.18
165,165,honiara,-9.43,159.96,85.88,65.0,8.0,1.38
166,166,castro,-42.48,-73.76,57.53,74.0,0.0,3.5
167,167,crotone,39.09,17.12,44.6,70.0,0.0,3.1
168,168,noumea,-22.28,166.46,80.6,57.0,75.0,9.8
169,169,ouadda,8.07,22.4,68.42,95.0,76.0,2.55
170,170,rio grande,-32.03,-52.1,66.03,90.0,0.0,5.2
171,171,fortuna,38.18,-1.13,45.88,56.0,0.0,1.0
172,172,santa helena de goias,-17.81,-50.6,73.01,93.0,20.0,1.2
173,173,alice springs,-23.7,133.88,89.6,24.0,0.0,1.5
174,174,salalah,17.01,54.1,73.4,78.0,0.0,1.0
175,175,linxia,35.6,103.21,18.74,84.0,44.0,1.15
176,176,esperance,10.24,-61.45,77.5,78.0,20.0,2.6
177,177,acapulco,16.86,-99.88,82.4,74.0,5.0,2.1
178,178,sayat,38.78,63.88,41.0,75.0,0.0,5.1
179,179,port alfred,-33.59,26.89,64.99,70.0,12.0,3.58
180,180,chase,43.89,-85.64,14.88,85.0,90.0,1.5
181,181,cabo san lucas,22.89,-109.91,70.97,60.0,5.0,3.6
182,182,havre-saint-pierre,50.23,-63.6,26.6,79.0,90.0,7.2
183,183,kamojima,34.07,134.35,46.11,65.0,75.0,3.1
184,184,porto belo,-27.15,-48.54,72.97,78.0,90.0,3.1
185,185,ubon ratchathani,15.23,104.86,75.2,69.0,0.0,1.0
186,186,victoria,5.28,115.24,80.31,78.0,75.0,4.1
187,187,comodoro rivadavia,-45.87,-67.48,59.0,67.0,20.0,4.6
188,188,noyabrsk,63.2,75.45,12.48,100.0,80.0,5.78
189,189,san carlos de bariloche,-41.13,-71.31,62.6,45.0,0.0,6.7
190,190,east london,-33.02,27.91,70.13,100.0,88.0,10.65
191,191,chiajna,44.46,25.98,37.89,64.0,0.0,1.68
192,192,cockburn town,21.46,-71.14,77.6,98.0,88.0,9.48
193,193,bosaso,11.28,49.18,75.39,100.0,0.0,1.88
194,194,kota belud,6.35,116.43,78.1,74.0,75.0,2.1
195,195,norsup,-16.07,167.38,79.67,93.0,80.0,8.2
196,196,yeppoon,-23.13,150.74,82.4,51.0,20.0,5.7
197,197,saint-francois,46.42,3.91,31.37,79.0,0.0,1.15
198,198,provideniya,64.42,-173.23,32.0,91.0,40.0,9.0
199,199,kirkuk,35.47,44.4,51.32,66.0,8.0,6.1
200,200,mabaruma,8.2,-59.78,78.86,79.0,56.0,3.95
201,201,adrar,27.87,-0.29,48.2,31.0,0.0,3.1
202,202,severo-kurilsk,50.68,156.12,21.71,100.0,44.0,7.43
203,203,deloraine,49.18,-100.5,-2.99,85.0,48.0,0.89
204,204,ahipara,-35.17,173.16,72.06,65.0,0.0,3.68
205,205,gao,16.28,-0.04,57.66,48.0,0.0,4.38
206,206,trairi,-3.28,-39.27,81.83,100.0,56.0,3.75
207,207,karakol,42.49,78.39,2.04,51.0,0.0,2.05
208,208,eyl,7.98,49.82,73.14,100.0,76.0,5.33
209,209,vao,59.1,26.19,21.17,75.0,8.0,2.15
210,210,tromso,69.65,18.96,36.21,93.0,75.0,9.3
211,211,barcelona,41.38,2.18,48.04,76.0,20.0,2.6
212,212,bathsheba,13.22,-59.52,78.86,97.0,88.0,7.95
213,213,edd,13.93,41.69,69.23,17.0,0.0,2.7
214,214,hearst,49.69,-83.67,4.11,53.0,0.0,2.85
215,215,hobart,-42.88,147.33,62.31,42.0,20.0,2.6
216,216,vilhena,-12.74,-60.15,73.82,92.0,76.0,0.88
217,217,luwuk,-0.95,122.79,79.22,97.0,88.0,1.7
218,218,bulata,9.86,122.4,76.16,93.0,0.0,6.9
219,219,san policarpo,12.18,125.51,76.74,92.0,80.0,4.48
220,220,hirado,33.32,129.49,50.63,71.0,0.0,1.5
221,221,san joaquin,10.59,122.14,74.94,70.0,0.0,5.6
222,222,alta floresta,-9.87,-56.08,73.01,95.0,48.0,0.65
223,223,clyde river,70.47,-68.59,-23.8,74.0,20.0,1.5
224,224,dolzhanskaya,46.63,37.8,30.98,96.0,88.0,4.15
225,225,port lincoln,-34.72,135.86,73.28,83.0,0.0,2.9
226,226,vrangel,42.73,133.08,31.79,100.0,0.0,2.0
227,227,lompoc,34.64,-120.46,57.02,67.0,40.0,3.1
228,228,bantogon,6.53,124.03,72.96,83.0,44.0,1.05
229,229,uthal,25.81,66.62,50.06,41.0,0.0,2.03
230,230,namtsy,62.72,129.66,-18.4,75.0,44.0,1.0
231,231,batagay,67.65,134.64,-34.86,62.0,12.0,1.28
232,232,gelsenkirchen,51.51,7.1,40.19,79.0,0.0,1.5
233,233,callaway,46.98,-95.91,2.59,77.0,1.0,2.6
234,234,pokrovsk,48.28,37.18,27.92,91.0,88.0,3.15
235,235,baykit,61.68,96.39,10.01,76.0,64.0,2.7
236,236,vila velha,-3.71,-38.6,80.89,83.0,0.0,1.5
237,237,luanda,-8.83,13.24,80.57,91.0,80.0,2.23
238,238,mataura,-46.19,168.86,50.0,89.0,48.0,4.92
239,239,brae,60.4,-1.35,44.83,100.0,56.0,5.1
